SKI
UQCRQ
SIL1
NDST1
GM2A
GABRA1
NSD1
B4GALT7
PROP1
NHP2
TUBB2A
TUBB2B
TFAP2A
ALDH5A1
NEU1
SYNGAP1
FANCE
MOCS1
PEX6
MUT
TFAP2B
RAB23
LMBRD1
MTO1
SLC17A5
PHIP
ELOVL4
BCKDHB
RARS2
GRIK2
PDSS2
SOBP
FIG4
GJA1
LAMA2
ARG1
MED23
PEX7
PEX3
GRM1
ARID1B
GTF2H5
RNASET2
FAM20C
BRAT1
ACTB
ISPD
TWIST1
FAM126A
HOXA1
BBS9
BMPER
MPLKIP
GLI3
DDC
PSPH
GUSB
ASL
KCTD7
SBDS
AUTS2
PEX1
AP4M1
PLOD3
RELN
COG5
DLD
LAMB1
CAV1
AASS
RBM28
CEP41
BRAF
AGK
CASP2
CNTNAP2
EZH2
SHH
CLN8
MCPH1
TUSC3
ASAH1
ESCO2
TTI2
ERLIN2
FGFR1
HGSNAT
CA8
CHD7
TMEM70
PEX2
CA2
NBN
TMEM67
UQCRB
VPS13B
RAD21
TAF2
TRAPPC9
RECQL4
KANK1
SMARCA2
VLDLR
GLDC
APTX
GALT
FANCG
PIGO
EXOSC3
PSAT1
AUH
ROR2
FBP1
FANCC
PTCH1
XPA
TGFBR1
ALG2
ALDOB
FKTN
TRIM32
CDK5RAP2
STXBP1
DNM1
SPTAN1
DOLK
ASS1
LAMC3
POMT1
TSC1
SURF1
LHX3
INPP5E
NOTCH1
MAN1B1
GRIN1
EHMT1
PTF1A
PDSS1
RAB18
ERCC6
KIAA1279
PCBD1
PSAP
ADK
KAT6B
KCNMA1
POLR3A
MAT1A
GLUD1
PTEN
ACTA2
KIF11
ALDH18A1
COX15
SMC3
SHOC2
EMX2
FGFR2
HRAS
DEAF1
SLC25A22
CTSD
TH
CDKN1C
SMPD1
TPP1
SLC6A5
FANCF
PDHX
ALX4
SLC35C1
PEX16
TMEM216
RNASEH2C
BBS1
PC
NDUFV1
NDUFS8
LRP5
DHCR7
FOLR1
ALG8
MED17
MRE11A
CEP57
YAP1
ACAT1
ATM
ALG9
DLAT
PTS
ZBTB16
DPAGT1
CBL
SC5D
HYLS1
CDON
FOXRED1
KIRREL3
JAM3
CACNA1C
C12orf57
PEX5
GRIN2B
MGP
ABCC9
KRAS
DDX11
KMT2D
TUBA1A
DIP2B
SCN8A
AAAS
ITGA7
TAC3
GNS
BBS10
ALX1
CEP290
CRADD
GNPTAB
IGF1
PAH
POLR3B
MMAB
TCTN1
PTPN11
ACADS
HPD
C12orf65
TCTN2
SACS
CENPJ
BRCA2
FREM2
SLC25A15
RNASEH2B
ALG11
CLN5
ZIC2
PCCA
ERCC5
LIG4
COL4A1
COL4A2
FOXG1
AP4S1
NUBPL
NKX2-1
MGAT2
L2HGDH
BMP4
GCH1
OTX2
ZFYVE26
SMOC1
ABCD4
NPC2
FLVCR2
POMT2
VIPAS39
GALC
TTC8
VRK1
DYNC1H1
AKT1
MAGEL2
UBE3A
GABRB3
SLC12A6
NOP10
SPRED1
BUB1B
IVD
CHST14
UBR1
SPG11
GATM
FBN1
CEP152
AP4E1
MYO5A
MAP2K1
CLN6
HEXA
BBS4
STRA6
ETFA
FANCI
KIF7
BLM
VPS33B
CHD2
IGF1R
LINS
GNPTG
IFT140
GFER
TSC2
TBC1D24
SLX4
CREBBP
ROGDI
ALG1
PMM2
GRIN2A
ERCC4
NDE1
XYLT1
COG7
PALB2
CLN3
TUFM
ALDOA
SRCAP
RPGRIP1L
FTO
IRX5
BBS2
COQ9
GPR56
TK2
COG8
COG4
TAT
GCSH
MLYCD
CDH15
ANKRD11
FANCA
PAFAH1B1
ASPA
ACADVL
MPDU1
CTC1
MYH3
SCO1
ELAC2
COX10
TTC19
PIGL
RAI1
ALDH3A2
SLC46A1
RNF135
NF1
PEX12
THRA
CDC6
SMARCE1
NAGLU
NAGS
EFTUD2
GFAP
KANSL1
WNT3
MKS1
RAD51C
BRIP1
TACO1
PRKAR1A
SOX9
COG1
SLC25A19
TSEN54
ACOX1
GAA
SGSH
ACTG1
PYCR1
TGIF1
LAMA1
AFG3L2
NPC1
ELP2
SETBP1
DYM
SMAD4
TCF4
CCBE1
PIGN
CTDP1
NDUFS7
GAMT
MAP2K2
TUBB4A
MCOLN1
SMARCA4
DOCK6
MAN2B1
RNASEH2A
GCDH
NFIX
CC2D1A
SLC5A5
PIK3R2
PEPD
SCN1B
SDHAF1
WDR62
RYR1
BCKDHA
RPS19
ATP1A3
ETHE1
ERCC2
ERCC1
DMPK
FKRP
FTL
PNKP
NUP62
ETFB
PPP2R1A
TSEN34
PLCB1
MKKS
JAG1
ASXL1
DNMT3B
ITCH
SAMHD1
CTSA
SLC2A10
ARFGEF2
ADNP
DPM1
GNAS
KCNQ2
HLCS
DYRK1A
CBS
CSTB
COL18A1
FTCD
PCNT
PEX26
TUBA8
SNAP29
SMARCB1
LARGE
SOX10
PLA2G6
ADSL
XPNPEP3
EP300
ACO2
NAGA
CYB5R3
ALG12
MLC1
TUBGCP6
SCO2
ARSA
ARSE
MID1
HCCS
OFD1
FANCB
PIGA
AP1S2
NHS
CDKL5
PDHA1
RPS6KA3
CNKSR2
SMS
ARX
IL1RAPL1
GK
DMD
OTC
TSPAN7
BCOR
ATP6AP2
USP9X
CASK
MAOA
NDP
KDM6A
RBM10
SYN1
FTSJ1
PORCN
EBP
PQBP1
WDR45
SYP
CCDC22
KDM5C
IQSEC2
SMC1A
HSD17B10
HUWE1
PHF8
FGD1
ARHGEF9
AMER1
OPHN1
IGBP1
DLG3
MED12
HDAC8
SLC16A2
KIAA2022
ABCB7
ZDHHC15
ATRX
ATP7A
PGK1
BRWD3
ZNF711
PCDH19
SRPX2
TIMM8A
PLP1
PRPS1
ACSL4
PAK3
DCX
ALG13
UBE2A
UPF3B
NDUFA1
LAMP2
CUL4B
GRIA3
OCRL
ZDHHC9
AIFM1
GPC3
PHF6
HPRT1
SLC9A6
ARHGEF6
SOX3
FMR1
AFF2
IDS
NSDHL
SLC6A8
BCAP31
ABCD1
L1CAM
NAA10
MECP2
FLNA
TAZ
GDI1
DKC1
RAB39B
